@relation RFM-weka.filters.unsupervised.attribute.AddNoise-Clast-P30-S2

@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute class {poly-kalos,pistos,avevaios,efkairia,adiaforos,palia-eykairia,proin-pistos,proin-kalos}

@data
88,3,1298,pistos
18,6,2548,poly-kalos
83,3,1303,palia-eykairia
63,6,1312,poly-kalos
20,10,3069,poly-kalos
32,3,2893,poly-kalos
13,9,4428,poly-kalos
40,12,4408,poly-kalos
10,3,1061,poly-kalos
28,7,1074,avevaios
0,28,13943,palia-eykairia
21,9,3616,poly-kalos
9,16,2902,avevaios
1,11,4837,efkairia
26,6,1344,poly-kalos
15,13,3195,poly-kalos
2,6,1299,poly-kalos
85,4,1393,poly-kalos
75,7,4310,poly-kalos
4,10,2275,poly-kalos
14,3,3372,poly-kalos
4,15,6855,poly-kalos
85,3,927,poly-kalos
2,10,3935,poly-kalos
11,3,3902,poly-kalos
15,5,2526,efkairia
8,3,2705,poly-kalos
67,4,966,poly-kalos
32,3,1072,palia-eykairia
18,12,30419,poly-kalos
36,13,16131,palia-eykairia
18,13,14241,efkairia
2,3,1018,poly-kalos
110,4,919,poly-kalos
15,5,1770,palia-eykairia
1,9,2606,pistos
0,5,982,proin-kalos
76,6,1027,palia-eykairia
85,3,1266,poly-kalos
97,5,819,avevaios
97,3,2574,avevaios
11,6,7368,proin-pistos
72,11,7161,proin-kalos
7,5,1238,poly-kalos
81,9,1932,efkairia
4,14,4938,poly-kalos
48,7,13983,poly-kalos
68,16,4548,poly-kalos
62,5,6282,poly-kalos
3,32,29899,poly-kalos
0,3,1184,poly-kalos
67,5,1573,poly-kalos
62,5,2000,adiaforos
7,5,2331,poly-kalos
2,9,2884,efkairia
13,5,13934,poly-kalos
9,5,2420,poly-kalos
43,9,2005,avevaios
90,3,2413,avevaios
14,3,1432,poly-kalos
0,12,1878,poly-kalos
8,12,6464,poly-kalos
77,16,14495,poly-kalos
33,13,2395,poly-kalos
62,3,1429,poly-kalos
12,4,2750,poly-kalos
0,4,2274,poly-kalos
22,10,942,poly-kalos
15,5,2425,poly-kalos
49,10,2053,poly-kalos
68,4,3408,proin-pistos
25,7,3614,poly-kalos
8,10,7074,proin-kalos
20,3,1424,poly-kalos
97,3,3174,avevaios
8,29,26934,poly-kalos
78,8,6179,poly-kalos
7,4,1413,poly-kalos
68,3,2167,poly-kalos
110,7,859,poly-kalos
82,5,826,poly-kalos
89,9,1497,poly-kalos
27,5,815,poly-kalos
18,8,2919,poly-kalos
