UserID,R,F,M
7710,243,1,67.23
7721,1,1,285.29
7732,169,4,1148.33
7733,344,1,84.03
7736,347,1,347.88998
7743,169,1,95.8
7755,26,1,191.59
7757,71,1,600.84
7761,76,4,584.63
7762,158,1,81.93
7775,330,1,105.88
7783,18,23,12822.212
7786,300,1,161.34
7792,148,5,4622.67
7800,62,5,454.44998
7807,123,1,317.65
7845,298,2,1094.11
7854,67,1,235.29
7855,60,1,302.52
7857,146,1,88.24
7858,99,1,415.97
7870,23,8,2275.1
7872,0,3,1134.45
7914,56,1,9811.35
7918,12,4,488.65
7926,32,1,467.23
7932,11,3,707.14
7935,162,2,516.81
7942,12,4,534.03
7951,4,32,9897.471
7960,72,6,3084.2297
7966,139,2,112.61
7980,256,1,138.66
7989,158,1,277.74002
7991,208,4,1047.9099
7998,118,5,594.52997
8006,69,1,411.76
8012,48,9,2739.2402
8019,173,6,2448.31
8021,1,1,199.16
8026,19,3,668.91
8059,174,1,157.14
8074,151,1,103.54
8077,13,7,484.39
8083,208,1,445.38998
8084,264,1,338.66
8089,221,4,936.98
8092,358,3,1020.17004
8095,23,3,1689.08
8105,1,21,19052.27
8126,16,1,468.07
8130,348,1,115.97
8131,186,1,159.66
8153,47,3,2729.4102
8157,148,1,189.08
8163,183,7,4490.7803
8180,252,1,214.29001
8183,172,2,342.85
8209,10,5,1281.5099
8212,18,12,8825.061
8216,347,1,83.19
8223,1,5,407.96997
8238,4,1,63.03
8239,313,3,217.86
8241,23,11,6575.22
8271,233,1,117.65
8276,298,1,168.06999
8278,116,1,205.87988
8283,260,1,231.09
8286,27,16,5211.4595
8316,76,1,105.04
8317,195,2,382.36
8324,60,8,3674.8
8332,57,6,1274.78
8347,181,8,10795.781
8349,74,7,9436.959
8350,0,29,4031.53
8356,12,7,3600.5496
8357,76,2,705.88
8370,46,1,268.91
8371,120,3,657.56
8377,152,1,110.92
8394,117,1,373.95
8412,193,2,857.14
8415,4,43,21307.125
8429,125,1,77.73
8452,147,4,1193.29
8461,28,3,1307.99
8465,279,2,0
8470,57,4,965.76
8477,159,1,0
8485,212,3,1327.72
8487,125,1,102.94
8506,280,3,357.13998
8512,32,4,1273.9501
8522,10,17,10418.06
8533,277,1,252.1
8569,1,15,9736.56
8573,307,1,252.1
8574,32,11,936.5501
8584,250,1,239.5
8585,271,1,54.2
8586,36,3,-1075.63
8622,26,30,9860.141
8634,289,1,1084.03
8638,19,1,0
8643,359,2,284.87
8655,26,9,1622.27
8662,11,10,5331.85
8670,65,1,121.85
8678,348,1,161.34
8685,250,1,1430.25
8701,167,9,15122.71
8718,362,1,105.880005
8724,226,1,33.61
8741,326,1,113.45
8747,53,1,142.86
8754,29,2,24.37001
8757,333,1,231.09
8773,249,1,584.07
8780,182,2,166.38
8783,116,1,92.44
8793,7,1,60.5
8813,26,4,1135.7201
8818,151,1,214.29001
8819,218,2,4697.4697
8827,336,1,297.48
8837,0,4,621.42004
8847,7,9,3710.3901
8848,348,2,0
8849,329,1,0
8857,250,2,404.2
8859,25,9,3346.2205
8874,3,8,2000.85
8875,7,14,6470.839
8885,260,1,134.45
8898,35,2,990.75
8901,141,3,166.39
8920,39,3,458.81003
8924,2,10,13715.13
8927,140,1,685.71
8929,169,4,60.51001
8932,166,1,70.59
8937,10,8,4793.29
8940,158,1,467.23
8947,0,3,1091.9999
8950,27,1,218.49
8958,10,5,1470.59
8965,41,18,17326.873
8985,235,3,617.65
8988,167,2,273.95
8990,7,1,49.579994
8994,209,1,495.8
8998,257,1,100.84
9015,351,1,778.99
9018,25,2,778.99
9022,246,1,121.85
9025,145,2,1114.27
9027,168,3,168.91
9029,195,1,705.88
9072,9,23,13714.2705
9076,180,2,565.04
9077,260,1,159.66
9078,351,1,100.84
9092,70,1,106.72
9097,1,4,648.75
9106,237,1,781.51
9119,1,4,814.28
9120,204,2,306.72
9141,78,2,1793.2601
9149,36,7,3528.9897
9161,362,1,478.99
9173,19,4,2406.7197
9191,187,1,48.74
9198,123,1,135.71
9206,151,3,1220
9233,299,1,100.84
9265,10,1,-105.04
9271,14,4,965.54004
9281,151,1,84.03
9286,0,1,226.89
9305,10,1,147.06
9309,113,1,323.53
9346,12,2,1920.1599
9347,10,2,1229.4099
9369,11,1,1384.87
9371,57,1,247.9
9372,109,5,1947.04
9384,330,4,603.36
9388,139,1,493.27002
9403,36,6,1422.7001
9405,97,11,14665.58
9450,11,2,826.05
9458,8,1,201.68
9461,58,2,1114.9299
9462,16,14,7323.6
9463,0,2,-25.210007
9464,0,3,2198.3198
9478,116,4,3960.51
9487,263,2,550.42
9493,20,1,92.44
9502,7,4,620.59
9531,161,3,360.51
9545,25,8,6745.3794
9547,9,1,35.29
9549,2,2,148.23001
9657,226,3,933.61993
9674,166,1,643.69
9676,197,2,680.88
9678,347,1,849.57996
9687,18,1,109.24
9688,11,3,1482.78
9707,249,1,1289.92
9710,251,1,136.98001
9715,155,1,105.05
9722,39,2,149.16
9751,10,28,12699.16
9762,156,2,466.38998
9772,179,1,49.58
9794,348,1,350.42
9808,350,2,4909.26
9815,11,3,493.28
9839,165,1,1169.74
9842,36,4,515.13
9846,65,1,54.62
9862,51,2,262.61
9863,175,4,3142.8599
9884,65,2,336.14
9900,331,1,1017.64996
9903,167,2,151.26
9909,189,2,0
9912,186,1,873.9501
9921,2,1,123.53
9923,148,1,80.259995
9938,18,4,3801.1099
9939,180,2,231.94
9945,36,6,2526.0398
9950,295,2,593.27
9976,357,1,65.55
9981,7,1,208.41
9995,0,2,583.19995
10024,224,1,117.649994
10031,11,3,1807.1501
10048,312,1,289.92
10058,27,2,197.47
10066,54,15,4264.71
10067,116,1,113.45
10072,25,4,735.24
10073,27,3,1163.87
10092,32,2,338.23
10103,33,1,100
10106,81,1,445.37
10114,341,3,1210.0801
10121,162,1,143.7
10124,334,2,1013.44995
10134,233,1,340.34
10135,4,3,1853.79
10144,13,3,1879.8202
10148,242,4,288.22998
10176,267,1,126.05
10190,186,1,293.28
10196,57,3,1578.15
10206,347,1,336.13
10219,172,2,75.63
10222,173,1,-2.5200043
10233,7,7,1298.74
10242,1,2,348.56
10249,134,7,1933.19
10255,161,1,55.46
10273,153,1,733.62
10274,25,2,129.83
10287,180,1,836.97
10292,11,1,250.42
10293,10,3,424.79
10299,354,1,647.9
10300,91,4,4377.32
10303,41,1,155.46
10306,12,1,161.76999
10325,315,1,53.45
10330,361,1,509.24
10335,347,1,226.89
10343,61,1,67.23
10355,176,1,4152.02
10357,26,2,447.06
10362,151,2,452.21002
10378,326,2,128.57
10394,254,1,94.54
10397,4,1,64.71
10402,25,1,476.47
10415,176,1,193.28
10416,349,1,54.62
10433,357,1,521.01
10435,7,5,1902.53
10444,358,1,274.79
10457,60,3,166.39001
10502,8,1,-297.06
10519,159,6,950.84
10530,172,2,198.31
10531,4,1,46.23
10532,347,1,50.42
10545,7,12,1736.9801
10556,362,1,831.93
10583,77,2,1214.2899
10589,355,1,5578.1494
10596,18,2,268.49
10605,25,1,50.42
10606,0,5,657.14
10629,30,1,86.97
10631,8,1,214.70001
10641,330,1,327.73
10642,158,1,134.45
10658,217,1,97.35
10661,158,2,41.170002
10727,320,1,663.03
10731,159,4,534.87
10737,173,4,924.37
10738,9,1,117.65
10756,293,1,126.05
10758,3,2,253.78
10777,1,3,453.36
10787,312,1,326.88
10794,158,3,207.14
10820,81,2,396.65002
10822,169,5,1729.4401
10836,141,2,638.87
10874,125,1,268.91
10880,321,1,685.71
10883,306,2,658.82996
10886,33,1,167.22
10892,0,1,21.010002
10914,1,4,673.0999
10915,26,1,111.76
10939,41,4,331.93
10941,249,1,106.19
10952,232,2,277.32
10956,107,1,0
10972,155,3,676.47
10985,32,2,1301.6799
11015,187,2,588.24
11044,277,1,159.66
11067,243,1,1192.45
11072,7,3,1078.15
11078,317,1,83.19
11106,7,4,2186.9697
11108,347,1,89.91
11145,116,2,470.59003
11150,162,1,10.079994
11151,134,5,761.33997
11162,0,3,2203.78
11181,224,1,310.92
11190,282,3,1274.37
11192,74,4,4665.5693
11212,110,1,163.87
11217,215,3,37.820023
11232,23,4,4696.63
11250,159,4,1796.2198
11253,350,2,113.44
11268,316,1,126.05
11277,27,7,5678.98
11288,68,1,131.09
